Date,Value,Series,labels
2007-01-01,2707743.4,Conventional Oil,2007-01-01T00:00:00
2007-02-01,2450594.2,Conventional Oil,2007-02-01T00:00:00
2007-03-01,2703836.8,Conventional Oil,2007-03-01T00:00:00
2007-04-01,2567241.4,Conventional Oil,2007-04-01T00:00:00
2007-05-01,2614545.2,Conventional Oil,2007-05-01T00:00:00
2007-06-01,2493203.4,Conventional Oil,2007-06-01T00:00:00
2007-07-01,2587857.9,Conventional Oil,2007-07-01T00:00:00
2007-08-01,2625063.6,Conventional Oil,2007-08-01T00:00:00
2007-09-01,2542775.1,Conventional Oil,2007-09-01T00:00:00
2007-10-01,2660162.3,Conventional Oil,2007-10-01T00:00:00
2007-11-01,2582593.5,Conventional Oil,2007-11-01T00:00:00
2007-12-01,2653020.4,Conventional Oil,2007-12-01T00:00:00
2008-01-01,2589269.4,Conventional Oil,2008-01-01T00:00:00
2008-02-01,2424163.9,Conventional Oil,2008-02-01T00:00:00
2008-03-01,2668296.6,Conventional Oil,2008-03-01T00:00:00
2008-04-01,2539888.3,Conventional Oil,2008-04-01T00:00:00
2008-05-01,2530247.2,Conventional Oil,2008-05-01T00:00:00
2008-06-01,2378587.6,Conventional Oil,2008-06-01T00:00:00
2008-07-01,2526018.2,Conventional Oil,2008-07-01T00:00:00
2008-08-01,2538445.1,Conventional Oil,2008-08-01T00:00:00
2008-09-01,2458040.1,Conventional Oil,2008-09-01T00:00:00
2008-10-01,2555471.9,Conventional Oil,2008-10-01T00:00:00
2008-11-01,2463236.5,Conventional Oil,2008-11-01T00:00:00
2008-12-01,2462488.3,Conventional Oil,2008-12-01T00:00:00
2009-01-01,2427019.1,Conventional Oil,2009-01-01T00:00:00
2009-02-01,2222681.9,Conventional Oil,2009-02-01T00:00:00
2009-03-01,2413559.6,Conventional Oil,2009-03-01T00:00:00
2009-04-01,2311917.8,Conventional Oil,2009-04-01T00:00:00
2009-05-01,2299602.8,Conventional Oil,2009-05-01T00:00:00
2009-06-01,2219622,Conventional Oil,2009-06-01T00:00:00
2009-07-01,2308707.2,Conventional Oil,2009-07-01T00:00:00
2009-08-01,2319714.9,Conventional Oil,2009-08-01T00:00:00
2009-09-01,2212676,Conventional Oil,2009-09-01T00:00:00
2009-10-01,2284811.5,Conventional Oil,2009-10-01T00:00:00
2009-11-01,2252494.5,Conventional Oil,2009-11-01T00:00:00
2009-12-01,2259351.5,Conventional Oil,2009-12-01T00:00:00
2010-01-01,2278535.3,Conventional Oil,2010-01-01T00:00:00
2010-02-01,2108766.8,Conventional Oil,2010-02-01T00:00:00
2010-03-01,2352116.8,Conventional Oil,2010-03-01T00:00:00
2010-04-01,2245983.6,Conventional Oil,2010-04-01T00:00:00
2010-05-01,2304554.8,Conventional Oil,2010-05-01T00:00:00
2010-06-01,2192497.5,Conventional Oil,2010-06-01T00:00:00
2010-07-01,2286966.9,Conventional Oil,2010-07-01T00:00:00
2010-08-01,2310148.6,Conventional Oil,2010-08-01T00:00:00
2010-09-01,2204683.1,Conventional Oil,2010-09-01T00:00:00
2010-10-01,2333947,Conventional Oil,2010-10-01T00:00:00
2010-11-01,2306025,Conventional Oil,2010-11-01T00:00:00
2010-12-01,2410320.1,Conventional Oil,2010-12-01T00:00:00
2011-01-01,2380002.7,Conventional Oil,2011-01-01T00:00:00
2011-02-01,2188150.2,Conventional Oil,2011-02-01T00:00:00
2011-03-01,2455478.1,Conventional Oil,2011-03-01T00:00:00
2011-04-01,2395944.1,Conventional Oil,2011-04-01T00:00:00
2011-05-01,2298500.5,Conventional Oil,2011-05-01T00:00:00
2011-06-01,2219853.9,Conventional Oil,2011-06-01T00:00:00
2011-07-01,2344236.1,Conventional Oil,2011-07-01T00:00:00
2011-08-01,2432271,Conventional Oil,2011-08-01T00:00:00
2011-09-01,2437164.3,Conventional Oil,2011-09-01T00:00:00
2011-10-01,2594440.2,Conventional Oil,2011-10-01T00:00:00
2011-11-01,2597544.5,Conventional Oil,2011-11-01T00:00:00
2011-12-01,2791461.7,Conventional Oil,2011-12-01T00:00:00
2012-01-01,2732441,Conventional Oil,2012-01-01T00:00:00
2012-02-01,2619447.1,Conventional Oil,2012-02-01T00:00:00
2012-03-01,2888108.6,Conventional Oil,2012-03-01T00:00:00
2012-04-01,2753463.4,Conventional Oil,2012-04-01T00:00:00
2012-05-01,2780625.7,Conventional Oil,2012-05-01T00:00:00
2012-06-01,2613764.1,Conventional Oil,2012-06-01T00:00:00
2012-07-01,2685879.5,Conventional Oil,2012-07-01T00:00:00
2012-08-01,2715176.2,Conventional Oil,2012-08-01T00:00:00
2012-09-01,2667676.6,Conventional Oil,2012-09-01T00:00:00
2012-10-01,2851859.7,Conventional Oil,2012-10-01T00:00:00
2012-11-01,2810820.2,Conventional Oil,2012-11-01T00:00:00
2012-12-01,2951518.5,Conventional Oil,2012-12-01T00:00:00
2013-01-01,2915192,Conventional Oil,2013-01-01T00:00:00
2013-02-01,2715962.5,Conventional Oil,2013-02-01T00:00:00
2013-03-01,3020869.1,Conventional Oil,2013-03-01T00:00:00
