date,price,Conventional Oil,Non-Conventional Oil,prod_change_conventional,price_change,price_lag_6,price_lag_12,prod_change
2007-01-01,60.85,2707743.4,5604533.2,,,,,
2007-02-01,57.35,2450594.2,5414892.8,-257149.19999999972,-3.5,,,-189640.40000000037
2007-03-01,61.97,2703836.8,6082110.5,253242.59999999963,4.619999999999997,,,667217.7000000002
2007-05-01,64.43,2614545.2,5460600.2,-89291.59999999963,2.460000000000008,,,-621510.2999999998
2007-06-01,65.09,2493203.4,5116667.3,-121341.80000000028,0.6599999999999966,,,-343932.9000000004
2007-08-01,76.49,2625063.6,6563190.2,131860.2000000002,11.399999999999991,,,1446522.9000000004
2007-10-01,80.31,2660162.3,6261577.2,35098.69999999972,3.8200000000000074,60.85,,-301613.0
2007-11-01,93.53,2582593.5,5899203.4,-77568.79999999981,13.219999999999999,57.35,,-362373.7999999998
2008-01-01,95.95,2589269.4,5891070.0,6675.899999999907,2.4200000000000017,61.97,,-8133.4000000003725
2008-02-01,89.03,2424163.9,5334417.3,-165105.5,-6.920000000000002,64.43,,-556652.7000000002
2008-04-01,100.92,2539888.3,5363264.0,115724.3999999999,11.89,65.09,,28846.700000000186
2008-05-01,112.6,2530247.2,5187830.4,-9641.099999999627,11.679999999999993,76.49,,-175433.59999999963
2008-07-01,141.06,2526018.2,6236885.7,-4229.0,28.460000000000008,80.31,60.85,1049055.2999999998
2008-08-01,125.03,2538445.1,6355391.7,12426.899999999907,-16.03,93.53,57.35,118506.0
2008-09-01,115.55,2458040.1,5779555.8,-80405.0,-9.480000000000004,95.95,61.97,-575835.9000000004
2008-10-01,98.23,2555471.9,6021170.7,97431.79999999981,-17.319999999999993,89.03,64.43,241614.90000000037
2008-12-01,49.34,2462488.3,6259388.5,-92983.6000000001,-48.89,100.92,65.09,238217.7999999998
2009-01-01,44.6,2427019.1,6188192.4,-35469.19999999972,-4.740000000000002,112.6,76.49,-71196.09999999963
2009-04-01,48.46,2311917.8,5631426.8,-115101.30000000028,3.8599999999999994,141.06,80.31,-556765.6000000006
2009-05-01,52.18,2299602.8,6180852.7,-12315.0,3.719999999999999,125.03,93.53,549425.9000000004
2009-06-01,68.59,2219622.0,6488880.3,-79980.79999999981,16.410000000000004,115.55,95.95,308027.5999999996
